"category_number","subcategory_letter","category_name","style_name","og_min","og_max","fg_min","fg_max","ibu_min","ibu_max","srm_min","srm_max","abv_min","abv_max","description","extraction_status","source_markdown"
"17","A","Strong British Ale","British Strong Ale","1.055","1.080","1.015","1.022","30","60","8","22","5.5","8.0","** An ale of respectable alcoholic strength, traditionally bottled-conditioned and cellared. Can have a wide range of interpretations, but most will have varying degrees of malty richness, late hops and bitterness, fruity esters, and alcohol warmth. The malt and adjunct flavors and intensity can vary widely, but any combination should result in an agreeable palate experience. **","parsed","BJCP_2021_GUIDELINES.md"
"17","B","Strong British Ale","Old Ale","1.055","1.088","1.015","1.022","30","60","10","22","5.5","9.0","** A stronger-than-average English ale, though usually not as strong or rich as an English Barley Wine, but usually malty. Warming. Shows positive maturation effects of a well-kept, aged beer. **","parsed","BJCP_2021_GUIDELINES.md"
"17","C","Strong British Ale","Wee Heavy","1.070","1.130","1.018","1.040","17","35","14","25","6.5","10.0","** Rich, sweet malt depth with caramel, toffee, and fruity flavors. Full-bodied and chewy, with warming alcohol. Restrained bitterness, but not cloying or syrupy. **","parsed","BJCP_2021_GUIDELINES.md"
"17","D","Strong British Ale","English Barley Wine","1.080","1.120","1.018","1.030","35","70","8","22","8.0","12.0","** A strong and richly malty ale with a pleasant fruity or hoppy depth. A wintertime sipper with a full, chewy body and warming alcohol. **","parsed","BJCP_2021_GUIDELINES.md"
"18","A","Pale American Ale","Blonde Ale","1.038","1.054","1.008","1.013","15","28","3","6","3.8","5.5","** Easy-drinking, approachable, malt-oriented American craft beer, often with interesting fruit, hop, or character malt notes. Well-balanced and clean, is a refreshing pint without aggressive flavors. **","parsed","BJCP_2021_GUIDELINES.md"
"18","B","Pale American Ale","American Pale Ale","1.045","1.060","1.010","1.015","30","50","5","10","4.5","6.2","** An average-strength, hop-forward, pale American craft beer with sufficient supporting malt to make the beer balanced and drinkable. The clean hop presence can reflect classic or modern American or New World hop varieties with a wide range of characteristics. **","parsed","BJCP_2021_GUIDELINES.md"
"19","A","Amber and Brown American Beer","American Amber Ale","1.045","1.060","1.010","1.015","25","40","10","17","4.5","6.2","** An amber, hoppy, moderate-strength American craft beer with a malty caramel flavor. The balance can vary quite a bit, with some versions being fairly malty and others being aggressively hoppy. Hoppy and bitter versions should not have clashing flavors with the caramel malt profile. **","parsed","BJCP_2021_GUIDELINES.md"
"19","B","Amber and Brown American Beer","California Common","1.048","1.054","1.011","1.014","30","45","9","14","4.5","5.5","** A toasty and caramelly, fairly bitter, standard-strength beer with an interesting fruitiness and rustic, woody hop character. Smooth and well carbonated. **","parsed","BJCP_2021_GUIDELINES.md"
"19","C","Amber and Brown American Beer","American Brown Ale","1.045","1.060","1.010","1.016","20","30","18","35","4.3","6.2","** A malty but hoppy standard-strength American ale frequently with chocolate and caramel flavors. The hop flavor and aroma complement and enhance the malt rather than clashing with it. **","parsed","BJCP_2021_GUIDELINES.md"
"20","A","American Porter and Stout","American Porter","1.050","1.070","1.012","1.018","25","50","22","40","4.8","6.5","** A malty, bitter, and often somewhat hoppy dark beer with a balanced, roasted, and frequently chocolatey character. **","parsed","BJCP_2021_GUIDELINES.md"
"20","B","American Porter and Stout","American Stout","1.050","1.075","1.010","1.022","35","75","30","40","5.0","7.0","** A fairly strong, highly roasted, bitter, hoppy dark stout. The body and dark flavors typical of stouts with a more aggressive American hop character and bitterness. **","parsed","BJCP_2021_GUIDELINES.md"
"20","C","American Porter and Stout","Imperial Stout","1.075","1.115","1.018","1.030","50","90","30","40","8.0","12.0","** An intensely-flavored, very strong, very dark stout with a broad range of interpretations. Roasty-burnt malt with a depth of dark or dried fruit flavors, and a warming, bittersweet finish. Despite the intense flavors, the components need to meld together to create a complex, harmonious beer, not a hot mess â€“ sometimes only accomplished with age. **","parsed","BJCP_2021_GUIDELINES.md"
"21","A","IPA","American IPA","1.056","1.070","1.008","1.014","40","70","6","14","5.5","7.5","** A decidedly hoppy and bitter, moderately strong, pale American ale. The balance is hop-forward, with a clean fermentation profile, dryish finish, and clean, supporting malt allowing a creative range of hop character to shine through. **","parsed","BJCP_2021_GUIDELINES.md"
"21","B","IPA","Specialty IPA","1.058","1.080","1.008","1.016","50","100","5","8","6.2","9.5","** Recognizable as an IPA by balance â€“ a hop-forward, bitter, dryish beer â€“ with something else present to distinguish it from the standard categories. Should have good drinkability, regardless of the form. Excessive harshness and heaviness are typically faults, as are strong flavor clashes between the hops and the other specialty ingredients. **","parsed","BJCP_2021_GUIDELINES.md"
"21","C","IPA","Hazy IPA","1.060","1.085","1.010","1.015","25","60","3","7","6.0","9.0","** An American IPA with intense fruit flavors and aromas, a soft body, smooth mouthfeel, and often opaque with substantial haze. Less perceived bitterness than traditional IPAs but always massively hop-forward. **","parsed","BJCP_2021_GUIDELINES.md"
"22","A","Strong American Ale","Double IPA","1.065","1.085","1.008","1.018","60","100","6","14","7.5","10.0","** An intensely hoppy, fairly strong, bitter pale ale without the big, rich, complex maltiness, residual sweetness, and body of an American Barleywine. Strongly hopped, but clean, dry, and lacking harshness. Despite showing its strength, drinkability is an important consideration. **","parsed","BJCP_2021_GUIDELINES.md"
"22","B","Strong American Ale","American Strong Ale","1.062","1.090","1.014","1.024","50","100","7","18","6.3","10.0","** A malty, bitter, and strong American Ale fitting in the space between American Barleywine, Double IPA, and Red IPA. The malty and hoppy flavors can be quite strong, but are generally in balance. **","parsed","BJCP_2021_GUIDELINES.md"
"22","C","Strong American Ale","American Barleywine","1.080","1.120","1.016","1.030","50","100","9","18","8.0","12.0","** A very strong, malty, hoppy, bitter American ale with a rich palate, full mouthfeel, and warming aftertaste, suitable for contemplative sipping. **","parsed","BJCP_2021_GUIDELINES.md"
"22","D","Strong American Ale","Wheatwine","1.080","1.120","1.016","1.030","30","60","6","14","8.0","12.0","** A richly textured, high alcohol sipping beer with a significant grainy, bready flavor, and a sleek body. The emphasis is first on the bready, wheaty flavors with malt, hops, fruity yeast, and alcohol complexity. **","parsed","BJCP_2021_GUIDELINES.md"
"23","A","European Sour Ale","Berliner Weisse","1.028","1.032","1.003","1.006","3","8","2","3","2.8","3.8","** A very pale, refreshing, low-alcohol German wheat beer with a clean lactic sourness and a very high carbonation level. A light bread dough malt flavor supports the sourness, which shouldnâ€™t seem artificial. A gentle fruitiness is found in the best examples. **","parsed","BJCP_2021_GUIDELINES.md"
"23","B","European Sour Ale","Flanders Red Ale","1.048","1.057","1.002","1.012","10","25","10","17","4.6","6.5","** A sour and fruity oak-aged reddish-brown Belgian-style ale with supportive toasty malt flavors and fruit complexity. The dry, tannic finish supports the suggestion of a vintage red wine. **","parsed","BJCP_2021_GUIDELINES.md"
"23","C","European Sour Ale","Oud Bruin","1.040","1.074","1.008","1.012","20","25","17","22","4.0","8.0","** A malty, fruity, aged, somewhat sour Belgian-style brown ale with a caramel-chocolate malt flavor, and often substantial alcohol. **","parsed","BJCP_2021_GUIDELINES.md"
"23","D","European Sour Ale","Lambic","1.040","1.054","1.001","1.010","0","10","3","6","5.0","6.5","** A fairly sour, often moderately funky, wild Belgian wheat beer with sourness taking the place of hop bitterness in the balance. Traditionally served uncarbonated as a cafÃ© drink. **","parsed","BJCP_2021_GUIDELINES.md"
"23","E","European Sour Ale","Gueuze","1.040","1.054","1.000","1.006","0","10","5","6","5.0","8.0","** A very refreshing, highly carbonated, pleasantly sour but balanced wild Belgian wheat beer. The wild beer character can be complex and varied, combining sour, funky, and fruity flavors. **","parsed","BJCP_2021_GUIDELINES.md"
"23","F","European Sour Ale","Fruit Lambic","","","","","","","","","","","** A complex, refreshing, pleasantly sour Belgian wheat beer blending a complementary fermented fruit character with a sour, funky Gueuze. **","review","BJCP_2021_GUIDELINES.md"
"23","G","European Sour Ale","Gose","1.036","1.056","1.006","1.010","5","12","3","4","4.2","4.8","** A tart, lightly-bittered historical central European wheat beer with a distinctive but restrained salt and coriander character. Very refreshing, with a dry finish, high carbonation, and bright flavors. **","parsed","BJCP_2021_GUIDELINES.md"
"24","A","Belgian Ale","Witbier","1.044","1.052","1.008","1.012","8","20","2","4","4.5","5.5","** A pale, hazy Belgian wheat beer with spices accentuating the yeast character. A delicate, lightly spiced, moderate-strength ale that is a refreshing summer drink with its high carbonation, dry finish, and light hopping. **","parsed","BJCP_2021_GUIDELINES.md"
"24","B","Belgian Ale","Belgian Pale Ale","1.048","1.054","1.010","1.014","20","30","8","14","4.8","5.5","** A top-fermented, all malt, average strength Belgian ale that is moderately bitter, not dry-hopped, and without strong flavors. The copper-colored beer lacks the aggressive yeast character or sourness of many Belgian beers, but has a well-balanced, malty, fruity, and often bready and toasty profile. **","parsed","BJCP_2021_GUIDELINES.md"
"24","C","Belgian Ale","BiÃ¨re de Garde","1.060","1.080","1.008","1.016","18","28","6","19","6.0","8.5","** A family of smooth, fairly strong, malty, lagered artisanal French beer with a range of malt flavors appropriate for the blond, amber, or brown color. All are malty yet dry, with clean flavors. Darker versions have more malt character, while paler versions can have more hops while still remaining malt-focused beers. **","parsed","BJCP_2021_GUIDELINES.md"
"25","A","Strong Belgian Ale","Belgian Blond Ale","1.062","1.075","1.008","1.018","15","30","4","6","6.0","7.5","** A golden, moderately-strong Belgian ale with a pleasantly subtle citrusy-spicy yeast complexity, smooth malty palate, and dry, soft finish. **","parsed","BJCP_2021_GUIDELINES.md"
"25","B","Strong Belgian Ale","Saison","1.070","1.095","1.005","1.016","22","35","3","6","7.5","10.5","** A family of refreshing, highly attenuated, hoppy, and fairly bitter Belgian ales with a very dry finish and high carbonation. Characterized by a fruity, spicy, sometimes phenolic fermentation profile, and the use of cereal grains and sometimes spices for complexity. Several variations in strength and color exist. **","parsed","BJCP_2021_GUIDELINES.md"
"26","A","Monastic Ale","Belgian Single","1.044","1.054","1.004","1.010","25","45","3","5","4.8","6.0","** A blond, bitter, hoppy table beer that is very dry and highly carbonated. The aggressive fruity-spicy Belgian yeast character and high bitterness is forward in the balance, with a soft, supportive grainy-sweet malt palate, and a spicy-floral hop profile. **","parsed","BJCP_2021_GUIDELINES.md"
"26","B","Monastic Ale","Belgian Dubbel","1.062","1.075","1.008","1.018","15","25","10","17","6.0","7.6","** A deep reddish-copper, moderately strong, malty, complex Belgian ale with rich malty flavors, dark or dried fruit esters, and light alcohol blended together in a malty presentation that still finishes fairly dry. **","parsed","BJCP_2021_GUIDELINES.md"
"26","C","Monastic Ale","Belgian Tripel","1.075","1.085","1.008","1.014","20","40","4.5","7","7.5","9.5","** A strong, pale, somewhat spicy Belgian ale with a pleasant rounded malt flavor, firm bitterness, and dry finish. Quite aromatic, with spicy, fruity, and light alcohol notes combining with the supportive clean malt character to produce a surprisingly drinkable beverage considering the high alcohol content. **","parsed","BJCP_2021_GUIDELINES.md"
"26","D","Monastic Ale","Belgian Dark Strong Ale","1.075","1.110","1.010","1.024","20","35","12","22","8.0","12.0","** A dark, complex, very strong Belgian ale with a delicious blend of malt richness, dark fruit flavors, and spicy notes. Complex, rich, smooth, and dangerous. **","parsed","BJCP_2021_GUIDELINES.md"
"28","A","American Wild Ale","Brett Beer","","","","","","","","","","","** Most often drier and fruitier than the base style suggests. Fruity or funky notes range from low to high, depending on the age of the beer and strains of Brett used. May possess a light non-lactic acidity. **","review","BJCP_2021_GUIDELINES.md"
"28","B","American Wild Ale","Mixed-Fermentation Sour Beer","","","","","","","","","","","** A sour and funky version of a base style of beer. **","review","BJCP_2021_GUIDELINES.md"
"28","C","American Wild Ale","Wild Specialty Beer","","","","","","","","","","","** An American Wild Ale with fruit, herbs, spices, or other Specialty-Type Ingredients. **","review","BJCP_2021_GUIDELINES.md"
"28","D","American Wild Ale","Straight Sour Beer","1.048","1.065","1.006","1.013","3","8","2","3","4.5","7.0","** A pale, refreshing, sour beer with a clean lactic sourness. A gentle, pale malt flavor supports the lemony sourness with moderate fruity esters. **","parsed","BJCP_2021_GUIDELINES.md"
"29","A","Fruit Beer","Fruit Beer","","","","","","","","","","","** A pleasant integration of fruit with beer, but still recognizable as beer. The fruit character should be evident but in balance with the beer, not so forward as to suggest an artificial product. **","review","BJCP_2021_GUIDELINES.md"
"29","B","Fruit Beer","Fruit and Spice Beer","","","","","","","","","","","** A tasteful union of fruit, spice, and beer, but still recognizable as beer. The fruit and spice character should each be evident but in balance with the beer, not so forward as to suggest an artificial product. **","review","BJCP_2021_GUIDELINES.md"
"29","C","Fruit Beer","Specialty Fruit Beer","","","","","","","","","","","** A appealing combination of fruit, sugar, and beer, but still recognizable as a beer. The fruit and sugar character should both be evident but in balance with the beer, not so forward as to suggest an artificial product. **","review","BJCP_2021_GUIDELINES.md"
"29","D","Fruit Beer","Grape Ale","1.059","1.075","1.004","1.013","10","30","4","8","6.0","8.5","** Combines the profile of a sparkling wine and a relatively neutral base beer allowing the aromatic qualities of the grape to blend pleasantly with hop and yeast aromatics. Can be in a range from refreshing to complex. **","parsed","BJCP_2021_GUIDELINES.md"
"30","A","Spiced Beer","Spice, Herb, or Vegetable Beer","","","","","","","","","","","** An appealing fusion of spices, herbs, or vegetables (SHVs) and beer, but still recognizable as beer. The SHV character should be evident but in balance with the beer, not so forward as to suggest an artificial product. **","review","BJCP_2021_GUIDELINES.md"
"30","B","Spiced Beer","Autumn Seasonal Beer","","","","","","","","","","","** A malty, spiced beer that often has a moderately rich body and slightly warming finish suggesting a good accompaniment for the cool fall season, and often evocative of harvest or Thanksgiving traditions. **","review","BJCP_2021_GUIDELINES.md"
"30","C","Spiced Beer","Winter Seasonal Beer","","","","","","","","","","","** A stronger, darker, spiced beer that often has a rich body and warming finish suggesting a good accompaniment for the cold winter season. **","review","BJCP_2021_GUIDELINES.md"
"30","D","Spiced Beer","Specialty Spice Beer","","","","","","","","","","","** An appealing combination of spices, herbs, or vegetables (SHVs), sugars, and beer, but still recognizable as beer. The SHV and sugar character should both be evident but in balance with the beer, not so forward as to suggest an artificial product. **","review","BJCP_2021_GUIDELINES.md"
"31","A","Alternative Fermentables Beer","Alternative Grain Beer","","","","","","","","","","","** A base beer enhanced by or featuring the character of additional grains. The specific character depends greatly on the added grains. **","review","BJCP_2021_GUIDELINES.md"
"32","A","Smoked Beer","Classic Style Smoked Beer","","","","","","","","","","","** A well-balanced fusion of the malt and hops of the base beer style with a pleasant and agreeable smoke character. **","review","BJCP_2021_GUIDELINES.md"
"32","B","Smoked Beer","Specialty Smoked Beer","","","","","","","","","","","** A well-balanced fusion of the malt and hops of the base specialty beer style with a pleasant and agreeable smoke character. **","review","BJCP_2021_GUIDELINES.md"
"33","A","Wood Beer","Wood-Aged Beer","","","","","","","","","","","** A pleasant enhancement of the base beer style with the characteristics from aging in contact with wood. The best examples will be smooth, flavorful, well-balanced, and well-aged. **","review","BJCP_2021_GUIDELINES.md"
"33","B","Wood Beer","Specialty Wood-Aged Beer","","","","","","","","","","","** An elevation of the base beer style with characteristics from aging in contact with wood, including alcoholic products previously in contact with the wood. The best examples will be smooth, flavorful, well-balanced, and well-aged. **","review","BJCP_2021_GUIDELINES.md"
"34","A","Specialty Beer","Commercial Specialty Beer","","","","","","","","","","","** Based on declared beer. **","review","BJCP_2021_GUIDELINES.md"
"34","B","Specialty Beer","Mixed-Style Beer","","","","","","","","","","","** Based on the declared Base Styles, methods, and ingredients. As with all Specialty-Type Beers, the resulting combination of beer styles needs to be harmonious and balanced, and be pleasant to drink. **","review","BJCP_2021_GUIDELINES.md"
"34","C","Specialty Beer","Experimental Beer","1.045","1.100","1.005","1.015","6","30","4","25","4.5","12","** Varies, but should be a unique experience. **","parsed","BJCP_2021_GUIDELINES.md"
